TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,FLAG,FOOTNOTE_ID_LIST,STATE_FIPS
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2000,3,3.7,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2009,4,3.2,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2010,5,3.2,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2014,6,3.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2015,7,3,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2016,8,3.2,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2017,9,3.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2018,10,3.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2019,11,3.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alabama,1,1,"Beds per 1,000 resident population",1,2020,12,3.1,,,"FN0466,NT0064,SC0056,NT9999",1
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,1980,1,2.7,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,1990,2,2.3,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2000,3,2.3,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2009,4,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2010,5,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2014,6,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2015,7,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2016,8,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2017,9,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2018,10,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2019,11,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Alaska,2,2,"Beds per 1,000 resident population",1,2020,12,2.2,,,"FN0466,NT0064,SC0056,NT9999",2
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,1980,1,3.6,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,1990,2,2.7,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2000,3,2.1,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2009,4,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2010,5,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2014,6,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2015,7,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2016,8,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2017,9,2,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2018,10,1.9,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2019,11,1.9,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arizona,3,3,"Beds per 1,000 resident population",1,2020,12,1.9,,,"FN0466,NT0064,SC0056,NT9999",4
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,1980,1,5,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,1990,2,4.6,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2000,3,3.7,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2009,4,3.3,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2010,5,3.2,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2014,6,3.1,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2015,7,3.1,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2016,8,3.2,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2017,9,3.2,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2018,10,3.2,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2019,11,3,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Arkansas,4,4,"Beds per 1,000 resident population",1,2020,12,3.1,,,"FN0466,NT0064,SC0056,NT9999",5
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,1980,1,3.6,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,1990,2,2.7,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2000,3,2.1,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2009,4,1.9,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2010,5,1.9,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2014,6,1.8,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2015,7,1.8,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2016,8,1.8,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2017,9,1.9,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2018,10,1.8,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2019,11,1.9,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,California,5,5,"Beds per 1,000 resident population",1,2020,12,1.8,,,"FN0466,NT0064,SC0056,NT9999",6
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,1980,1,4.2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,1990,2,3.2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2000,3,2.2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2009,4,2.1,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2010,5,2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2014,6,2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2015,7,1.9,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2016,8,2,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2017,9,1.9,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2018,10,1.9,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2019,11,1.9,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Colorado,6,6,"Beds per 1,000 resident population",1,2020,12,1.9,,,"FN0466,NT0064,SC0056,NT9999",8
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,1980,1,3.5,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,1990,2,2.9,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2000,3,2.3,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2009,4,2.3,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2010,5,2.3,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2014,6,2.2,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2015,7,2.1,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2016,8,2,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2017,9,2,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2018,10,2,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2019,11,2,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Connecticut,7,7,"Beds per 1,000 resident population",1,2020,12,2.1,,,"FN0466,NT0064,SC0056,NT9999",9
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,1980,1,3.6,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,1990,2,3,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2000,3,2.3,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2009,4,2.4,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2010,5,2.4,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2014,6,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2015,7,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2016,8,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2017,9,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2018,10,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2019,11,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Delaware,8,8,"Beds per 1,000 resident population",1,2020,12,2.2,,,"FN0466,NT0064,SC0056,NT9999",10
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,1980,1,7.3,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,1990,2,7.6,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2000,3,5.8,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2009,4,5.8,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2010,5,5.7,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2014,6,5.4,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2015,7,5.3,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2016,8,5.1,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2017,9,5.1,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2018,10,4.4,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2019,11,4.5,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,District of Columbia,9,9,"Beds per 1,000 resident population",1,2020,12,4.6,,,"FN0466,NT0064,SC0056,NT9999",11
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,1980,1,5.1,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,1990,2,3.9,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2000,3,3.2,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2009,4,2.9,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2010,5,2.9,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2014,6,2.7,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2015,7,2.6,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2016,8,2.6,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2017,9,2.6,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2018,10,2.6,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2019,11,2.6,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Florida,10,10,"Beds per 1,000 resident population",1,2020,12,2.5,,,"FN0466,NT0064,SC0056,NT9999",12
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,1980,1,4.6,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,1990,2,4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2000,3,2.9,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2009,4,2.6,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2010,5,2.6,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2014,6,2.4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2015,7,2.4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2016,8,2.4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2017,9,2.4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2018,10,2.4,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2019,11,2.3,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Georgia,11,11,"Beds per 1,000 resident population",1,2020,12,2.3,,,"FN0466,NT0064,SC0056,NT9999",13
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,1980,1,3.1,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,1990,2,2.7,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2000,3,2.5,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2009,4,2.3,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2010,5,2.4,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2014,6,2,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2015,7,1.8,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2016,8,1.7,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2017,9,1.8,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2018,10,1.9,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2019,11,1.9,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Hawaii,12,12,"Beds per 1,000 resident population",1,2020,12,1.9,,,"FN0466,NT0064,SC0056,NT9999",15
Community hospital beds,,,Geographic Characteristic,2,State,1,1,Idaho,13,13,"Beds per 1,000 resident population",1,1980,1,3.7,,,"FN0466,NT0064,SC0056,NT9999",16
